,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역,다음역,lon,lan,안전하차
1-시청,시청,1,151,1,1,0,1 ,9.2 ,0,,,126.977108,37.564718,"1-4, 4-4, 7-1, 10-1"
1-종각,종각,1,152,1,1,0,1 ,8.9 ,1,,,126.982923,37.570161,"1-4, 4-4, 7-1, 10-1"
1-종로3가,종로3가,1,153,1,1,1,1 ,9.4 ,1,,,126.991806,37.571607,"1-4, 4-4, 7-1, 10-1"
1-종로5가,종로5가,1,154,1,1,0,1 ,9.4 ,0,,,127.001849,37.570926,"1-4, 4-4, 7-1, 10-1"
1-신설동,신설동,1,156,1,1,1,1 ,12.3 ,0,,,127.025087,37.575297,"1-4, 4-4, 7-1, 10-1"
1-제기동,제기동,1,157,1,1,0,1 ,10.5 ,1,,,127.034893,37.578103,"1-4, 4-4, 7-1, 10-1"
1-청량리,청량리,1,158,0,1,1,1 ,8.6 ,0,,,127.02542,37.34511,"1-4, 4-4, 7-1, 10-1"
1-동묘앞,동묘앞,1,159,1,1,0,1 ,6.8 ,1,,,127.016429,37.572627,"1-4, 4-4, 7-1, 10-1"
1-창동,창동,1,412,1,1,1,1 ,11.1 ,1,방학,녹천,127.047731,37.653166,"1-4, 4-4, 7-1, 10-1"
1-동대문,동대문,1,421,1,1,1,1 ,12.7 ,1,,,127.009745,37.57142,"1-4, 4-4, 7-1, 10-1"
1-남영,남영,1,1002,1,0,0,0 ,7.3 ,0,서울역,용산,126.9713,37.541021,"1-4, 4-4, 7-1, 10-1"
1-용산,용산,1,1003,1,0,0,1 ,6.8 ,0,남영,노량진,126.964561,37.529849,"1-4, 4-4, 7-1, 10-1"
1-대방,대방,1,1005,1,0,0,1 ,17.9 ,0,,,126.926382,37.513342,"1-4, 4-4, 7-1, 10-1"
1-영등포,영등포,1,1006,1,0,0,1 ,13.5 ,0,,,126.907628,37.515504,"1-4, 4-4, 7-1, 10-1"
1-신도림,신도림,1,1007,1,1,0,1 ,15.8 ,1,,,126.891295,37.508725,"1-4, 4-4, 7-1, 10-1"
1-회기,회기,1,1015,1,0,0,1 ,11.0 ,0,,,127.057583,37.58946,"1-4, 4-4, 7-1, 10-1"
1-외대앞,외대앞,1,1016,1,0,0,1 ,14.8 ,0,,,127.063549,37.596073,"1-4, 4-4, 7-1, 10-1"
1-신이문,신이문,1,1017,0,0,0,1 ,17.0 ,0,,,127.067325,37.601854,"1-4, 4-4, 7-1, 10-1"
1-광운대,광운대,1,1019,1,0,0,1 ,13.7 ,0,,,127.061835,37.623632,"1-4, 4-4, 7-1, 10-1"
1-월계,월계,1,1020,1,0,0,1 ,14.5 ,0,녹천,광운대,127.058831,37.633212,"1-4, 4-4, 7-1, 10-1"
1-녹천,녹천,1,1021,1,0,0,0 ,13.5 ,0,창동,월계,127.051269,37.644799,"1-4, 4-4, 7-1, 10-1"
1-금정,금정,1,1458,1,0,0,1 ,8.0 ,1,,,126.943429,37.372221,"1-4, 4-4, 7-1, 10-1"
1-구로,구로,1,1701,1,0,0,1 ,8.7 ,0,,,126.881966,37.503039,"1-4, 4-4, 7-1, 10-1"
1-금천구청,금천구청,1,1703,1,0,0,1 ,10.4 ,0,,,126.89398,37.455626,"1-4, 4-4, 7-1, 10-1"
1-석수,석수,1,1704,1,0,0,1 ,12.0 ,0,,,126.902295,37.435047,"1-4, 4-4, 7-1, 10-1"
1-관악,관악,1,1705,1,0,0,1 ,9.6 ,0,,,126.908706,37.419232,"1-4, 4-4, 7-1, 10-1"
1-안양,안양,1,1706,1,0,0,1 ,8.1 ,0,,,126.922874,37.401592,"1-4, 4-4, 7-1, 10-1"
1-명학,명학,1,1707,1,0,0,1 ,12.7 ,0,,,126.935433,37.384653,"1-4, 4-4, 7-1, 10-1"
1-군포,군포,1,1709,1,0,0,1 ,11.8 ,1,,,126.948462,37.35356,"1-4, 4-4, 7-1, 10-1"
1-의왕,의왕,1,1710,1,0,0,1 ,9.8 ,0,,,126.948217,37.320852,"1-4, 4-4, 7-1, 10-1"
1-성균관대,성균관대,1,1711,1,0,0,1 ,10.5 ,0,,,126.97075,37.300349,"1-4, 4-4, 7-1, 10-1"
1-화서,화서,1,1712,1,0,0,1 ,9.2 ,0,,,126.989627,37.283862,"1-4, 4-4, 7-1, 10-1"
1-수원,수원,1,1713,1,0,0,1 ,7.0 ,0,,,126.999874,37.265974,"1-4, 4-4, 7-1, 10-1"
1-독산,독산,1,1714,1,0,0,1 ,7.4 ,0,,,126.889249,37.466613,"1-4, 4-4, 7-1, 10-1"
1-세류,세류,1,1715,1,0,0,0 ,12.4 ,0,,,127.013222,37.245025,"1-4, 4-4, 7-1, 10-1"
1-병점,병점,1,1716,0,0,0,1 ,10.2 ,1,,,127.032731,37.207503,"1-4, 4-4, 7-1, 10-1"
1-세마,세마,1,1717,1,0,0,1 ,11.2 ,2,,,127.04318,37.187533,"1-4, 4-4, 7-1, 10-1"
1-오산대,오산대,1,1718,1,0,0,1 ,9.2 ,2,,,127.063197,37.168953,"1-4, 4-4, 7-1, 10-1"
1-오산,오산,1,1719,1,0,0,1 ,13.3 ,0,,,127.06672,37.145885,"1-4, 4-4, 7-1, 10-1"
1-진위,진위,1,1720,1,0,0,1 ,13.8 ,0,,,127.062278,37.109447,"1-4, 4-4, 7-1, 10-1"
1-송탄,송탄,1,1721,1,0,0,1 ,14.7 ,0,,,127.054301,37.075696,"1-4, 4-4, 7-1, 10-1"
1-서정리,서정리,1,1722,1,0,0,1 ,13.7 ,0,,,127.052819,37.056496,"1-4, 4-4, 7-1, 10-1"
1-지제,평택지제,1,1723,0,0,0,1 ,13.7 ,0,,,127.070444,37.0188,"1-4, 4-4, 7-1, 10-1"
1-평택,평택,1,1724,1,0,0,1 ,15.3 ,0,,,127.085159,36.990726,"1-4, 4-4, 7-1, 10-1"
1-성환,성환,1,1725,1,0,0,0 ,10.2 ,0,,,127.126964,36.916076,"1-4, 4-4, 7-1, 10-1"
1-직산,직산,1,1726,1,0,0,1 ,9.9 ,1,,,127.143904,36.870593,"1-4, 4-4, 7-1, 10-1"
1-두정,두정,1,1727,1,0,0,0 ,10.9 ,2,,,127.14896,36.833705,"1-4, 4-4, 7-1, 10-1"
1-천안,천안,1,1728,1,0,0,1 ,11.0 ,2,,,127.146826,36.810005,"1-4, 4-4, 7-1, 10-1"
1-개봉,개봉,1,1801,1,0,0,1 ,8.5 ,0,,,126.85868,37.494594,"1-4, 4-4, 7-1, 10-1"
1-오류동,오류동,1,1802,1,0,0,1 ,9.3 ,0,,,126.845365,37.494526,"1-4, 4-4, 7-1, 10-1"
1-역곡,역곡,1,1803,1,0,0,1 ,8.7 ,0,,,126.811502,37.485178,"1-4, 4-4, 7-1, 10-1"
1-부천,부천,1,1804,1,0,0,1 ,9.6 ,0,,,126.782686,37.48405,"1-4, 4-4, 7-1, 10-1"
1-송내,송내,1,1805,1,0,0,1 ,10.3 ,0,,,126.753664,37.4876,"1-4, 4-4, 7-1, 10-1"
1-부평,부평,1,1806,1,0,0,1 ,7.4 ,0,,,126.724805,37.489493,"1-4, 4-4, 7-1, 10-1"
1-백운,백운,1,1807,1,0,0,1 ,10.3 ,0,,,126.707704,37.483664,"1-4, 4-4, 7-1, 10-1"
1-동암,동암,1,1808,1,0,0,1 ,9.1 ,0,,,126.702896,37.471408,"1-4, 4-4, 7-1, 10-1"
1-주안,주안,1,1809,1,0,0,0 ,8.5 ,0,,,126.679923,37.464941,"1-4, 4-4, 7-1, 10-1"
1-제물포,제물포,1,1810,1,0,0,0 ,10.9 ,1,,,126.656666,37.466769,"1-4, 4-4, 7-1, 10-1"
1-동인천,동인천,1,1811,1,0,0,0 ,10.1 ,0,,,126.632802,37.475276,"1-4, 4-4, 7-1, 10-1"
1-인천,인천,1,1812,1,0,0,1 ,10.6 ,0,,,126.616936,37.476691,"1-4, 4-4, 7-1, 10-1"
1-구일,구일,1,1813,1,0,0,1 ,11.0 ,0,,,126.870793,37.496756,"1-4, 4-4, 7-1, 10-1"
1-소사,소사,1,1814,1,0,0,1 ,7.9 ,1,,,126.79544,37.482753,"1-4, 4-4, 7-1, 10-1"
1-부개,부개,1,1815,1,0,0,1 ,11.0 ,0,,,126.74109,37.488418,"1-4, 4-4, 7-1, 10-1"
1-간석,간석,1,1816,1,0,0,0 ,10.8 ,0,,,126.694181,37.464737,"1-4, 4-4, 7-1, 10-1"
1-도원,도원,1,1817,1,0,0,1 ,10.5 ,0,,,126.642706,37.468446,"1-4, 4-4, 7-1, 10-1"
1-중동,중동,1,1822,1,0,0,1 ,9.9 ,0,,,126.764843,37.486562,"1-4, 4-4, 7-1, 10-1"
1-방학,방학,1,1901,1,0,0,0 ,11.3 ,0,도봉,창동,127.044273,37.667503,"1-4, 4-4, 7-1, 10-1"
1-도봉,도봉,1,1902,1,0,0,0 ,14.5 ,1,도봉산,방학,127.045595,37.679563,"1-4, 4-4, 7-1, 10-1"
1-망월사,망월사,1,1904,1,0,0,1 ,11.9 ,0,회룡,도봉산,127.047455,37.709914,"1-4, 4-4, 7-1, 10-1"
1-회룡,회룡,1,1905,1,0,0,1 ,14.3 ,0,의정부,망월사,127.046895,37.724846,"1-4, 4-4, 7-1, 10-1"
1-의정부,의정부,1,1906,1,0,0,1 ,14.9 ,0,가능,회룡,127.045958,37.738415,"1-4, 4-4, 7-1, 10-1"
1-가능,가능,1,1907,1,0,0,0 ,16.0 ,0,녹양,의정부,127.044213,37.748577,"1-4, 4-4, 7-1, 10-1"
1-신길,신길,1,2526,1,1,1,1 ,16.9 ,1,,,126.917169,37.517122,"1-4, 4-4, 7-1, 10-1"
1-석계,석계,1,2645,1,1,1,1 ,13.2 ,0,,,127.065851,37.614805,"1-4, 4-4, 7-1, 10-1"
1-덕정,덕정,1,1911,1,0,0,0 ,-,0,지행,덕계,127.061277,37.843188,"1-4, 4-4, 7-1, 10-1"
1-도봉산,도봉산,1,2712,1,1,0,0 ,13.6 ,1,망월사,도봉,127.046222,37.689313,"1-4, 4-4, 7-1, 10-1"
1-가산디지털단지,가산디지털단지,1,2748,1,1,1,0 ,9.3 ,0,,,126.882343,37.481072,"1-4, 4-4, 7-1, 10-1"
1-온수,온수,1,2752,1,1,1,1 ,8.8 ,1,,,126.823388,37.492258,"1-4, 4-4, 7-1, 10-1"
1-노량진,노량진,1,4117,1,0,0,1 ,12.3 ,0,용산,대방,126.942454,37.514219,"1-4, 4-4, 7-1, 10-1"
2-시청,시청,2,151,1,1,0,1 ,9.0 ,0,,,126.975271,37.563534,"1-4, 4-4, 7-1, 10-1"
2-신설동,신설동,2,156,1,1,1,1 ,8.9 ,0,,,127.025158,37.574653,"1-4, 4-1"
2-까치산,까치산,2,200,1,0,0,0 ,8.2 ,0,,,126.50481,37.31543,"(신도림방향)3-4, (까치산방향)4-1"
2-을지로입구,을지로입구,2,202,1,1,0,1 ,9.3 ,0,,,126.982569,37.565998,"1-4, 4-4, 7-1, 10-1"
2-을지로4가,을지로4가,2,204,1,1,0,1 ,10.5 ,0,,,126.998122,37.566611,"1-4, 4-4, 7-1, 10-1"
2-신당,신당,2,206,1,1,0,1 ,7.7 ,0,,,127.019488,37.565681,"1-4, 4-4, 7-1, 10-1"
2-상왕십리,상왕십리,2,207,1,1,0,1 ,9.5 ,1,,,127.028872,37.564504,"1-4, 4-4, 7-1, 10-1"
2-왕십리,왕십리,2,208,1,1,0,1 ,5.6 ,0,,,127.035505,37.561159,"1-4, 4-4, 7-1, 10-1"
2-한양대,한양대,2,209,1,1,1,1 ,8.0 ,1,,,127.043504,37.55658,"1-4, 4-4, 7-1, 10-1"
2-뚝섬,뚝섬,2,210,1,1,0,1 ,7.5 ,1,,,127.047413,37.54718,"1-4, 4-4, 7-1, 10-1"
2-성수,성수,2,211,1,1,0,1 ,5.6 ,1,,,127.055983,37.544628,"1-4, 4-1"
2-건대입구,건대입구,2,212,1,1,0,1 ,9.0 ,1,,,127.069231,37.540408,"1-4, 4-4, 7-1, 10-1"
2-구의,구의,2,213,1,1,0,1 ,8.2 ,0,,,127.085024,37.536857,"1-4, 4-4, 7-1, 10-1"
2-강변,강변,2,214,1,1,0,1 ,7.0 ,0,,,127.094684,37.535161,"1-4, 4-4, 7-1, 10-1"
2-잠실나루,잠실나루,2,215,1,1,0,1 ,7.2 ,0,,,127.103836,37.520688,"1-4, 4-4, 7-1, 10-1"
2-잠실새내,잠실새내,2,217,1,1,0,1 ,10.9 ,0,,,127.103738,37.520731,"1-4, 4-4, 7-1, 10-1"
2-종합운동장,종합운동장,2,218,1,1,0,1 ,10.6 ,1,,,127.073641,37.511008,"1-4, 4-4, 7-1, 10-1"
2-삼성,삼성,2,219,1,1,1,1 ,8.7 ,0,,,127.063203,37.508827,"1-4, 4-4, 7-1, 10-1"
2-선릉,선릉,2,220,1,1,0,1 ,8.6 ,1,,,127.048174,37.504257,"1-4, 4-4, 7-1, 10-1"
2-역삼,역삼,2,221,1,1,0,1 ,9.8 ,0,,,127.03643,37.500658,"1-4, 4-4, 7-1, 10-1"
2-강남,강남,2,222,1,1,0,1 ,8.0 ,0,,,127.027539,37.497958,"1-4, 4-4, 7-1, 10-1"
2-서초,서초,2,224,1,1,0,1 ,9.1 ,1,,,127.007945,37.49191,"1-4, 4-4, 7-1, 10-1"
2-방배,방배,2,225,1,1,0,1 ,7.5 ,0,,,126.997627,37.481469,"1-4, 4-4, 7-1, 10-1"
2-사당,사당,2,226,1,1,0,1 ,8.5 ,1,,,126.981631,37.476536,"1-4, 4-4, 7-1, 10-1"
2-낙성대,낙성대,2,227,1,1,0,1 ,8.6 ,0,,,126.963783,37.47693,"1-4, 4-4, 7-1, 10-1"
2-서울대입구,서울대입구,2,228,1,1,0,1 ,6.5 ,0,,,126.952745,37.481233,"1-4, 4-4, 7-1, 10-1"
2-봉천,봉천,2,229,1,1,0,1 ,7.7 ,0,,,126.941896,37.482416,"1-4, 4-4, 7-1, 10-1"
2-신림,신림,2,230,1,1,0,1 ,10.7 ,0,,,126.929573,37.484216,"1-4, 4-4, 7-1, 10-1"
2-신대방,신대방,2,231,1,1,0,1 ,11.6 ,0,,,126.913279,37.487534,"1-4, 4-4, 7-1, 10-1"
2-구로디지털단지,구로디지털단지,2,232,1,1,0,1 ,9.1 ,0,,,126.902626,37.485005,"1-4, 4-4, 7-1, 10-1"
2-문래,문래,2,235,1,1,0,1 ,8.6 ,0,,,126.894766,37.517993,"1-4, 4-4, 7-1, 10-1"
2-합정,합정,2,238,1,1,0,1 ,7.6 ,1,,,126.914557,37.550025,"1-4, 4-4, 7-1, 10-1"
2-홍대입구,홍대입구,2,239,1,1,0,1 ,6.7 ,0,,,126.923643,37.556748,"1-4, 4-4, 7-1, 10-1"
2-신촌,신촌,2,240,1,1,0,1 ,10.5 ,0,,,126.93689,37.555153,"1-4, 4-4, 7-1, 10-1"
2-이대,이대,2,241,1,1,0,1 ,9.7 ,1,,,126.945897,37.556734,"1-4, 4-4, 7-1, 10-1"
2-아현,아현,2,242,1,1,0,1 ,10.5 ,1,,,126.956079,37.557407,"1-4, 4-4, 7-1, 10-1"
2-충정로,충정로,2,243,1,1,0,1 ,11.6 ,1,,,126.964455,37.559742,"1-4, 4-4, 7-1, 10-1"
2-용답,용답,2,244,0,0,1,1 ,8.1 ,0,,,126.977863,37.566412,"1-4, 4-1"
2-신답,신답,2,245,1,1,0,1 ,13.0 ,0,,,127.056348,37.56147,"1-4, 4-1"
2-도림천,도림천,2,247,1,1,0,1 ,8.6 ,0,,,126.882586,37.514759,"(신도림방향)3-4, (까치산방향)4-1"
2-양천구청,양천구청,2,248,1,1,0,1 ,8.5 ,0,,,126.865193,37.512194,"(신도림방향)3-4, (까치산방향)4-1"
2-신정네거리,신정네거리,2,249,1,1,1,1 ,10.0 ,0,,,126.852849,37.520218,"(신도림방향)3-4, (까치산방향)4-1"
2-용두,용두,2,250,1,1,0,1 ,10.0 ,0,,,127.03811,37.574012,"1-4, 4-1"
2-을지로3가,을지로3가,2,320,1,1,0,1 ,10.5 ,0,,,126.991773,37.566292,"1-4, 4-4, 7-1, 10-1"
2-교대,교대,2,330,1,1,1,1 ,8.5 ,0,,,127.014631,37.493957,"1-4, 4-4, 7-1, 10-1"
2-동대문역사문화공원,동대문역사문화공원,2,422,1,1,0,1 ,5.9 ,0,,,127.009083,37.565609,"1-4, 4-4, 7-1, 10-1"
2-신도림,신도림,2,1007,1,1,0,0 ,6.7 ,1,,,126.891222,37.508815,"1-4, 4-4, 7-1, 10-1"
2-영등포구청,영등포구청,2,2524,1,1,1,1 ,9.4 ,0,,,126.896627,37.525766,"1-4, 4-4, 7-1, 10-1"
2-대림,대림,2,2746,1,1,1,0 ,8.2 ,1,,,126.895293,37.492426,"1-4, 4-4, 7-1, 10-1"
2-잠실,잠실,2,2815,1,1,1,1 ,8.3 ,1,,,127.100129,37.513305,"1-4, 4-4, 7-1, 10-1"
2-당산,당산,2,4113,1,0,0,0 ,8.7 ,0,,,126.902011,37.533877,"1-4, 4-4, 7-1, 10-1"
3-가락시장,가락시장,3,340,1,1,0,1 ,9.0 ,1,,,127.118234 ,37.492522 ,"1-4, 4-4, 7-1, 10-1"
3-경찰병원,경찰병원,3,341,1,1,0,1 ,11.5 ,0,,,127.124540 ,37.495918 ,"1-4, 4-4, 7-1, 10-1"
3-오금,오금,3,342,1,1,0,1 ,9.0 ,0,,,127.128111 ,37.502162 ,"1-4, 4-4, 7-1, 10-1"
3-원흥,원흥,3,1948,1,0,0,1 ,-,1,,,126.872642 ,37.650658 ,"1-4, 4-4, 7-1, 10-1"
3-종로3가,종로3가,3,153,1,1,1,1 ,10.3 ,1,,,126.59254,37.34212,"1-4, 4-4, 7-1, 10-1"
3-지축,지축,3,309,0,1,0,1 ,8.5 ,0,,,126.913951,37.648048,"1-4, 4-4, 7-1, 10-1"
3-구파발,구파발,3,310,1,1,0,1 ,9.3 ,0,,,126.918821,37.636763,"1-4, 4-4, 7-1, 10-1"
3-불광,불광,3,312,1,1,0,1 ,11.0 ,1,,,126.929887,37.610469,"1-4, 4-4, 7-1, 10-1"
3-녹번,녹번,3,313,1,1,0,1 ,6.9 ,0,,,126.935756,37.600927,"1-4, 4-4, 7-1, 10-1"
3-홍제,홍제,3,314,1,1,0,1 ,11.5 ,0,,,126.943736,37.589066,"1-4, 4-4, 7-1, 10-1"
3-무악재,무악재,3,315,1,1,0,1 ,9.3 ,1,,,126.950291,37.582299,"1-4, 4-4, 7-1, 10-1"
3-독립문,독립문,3,316,1,1,0,1 ,11.5 ,1,,,126.957748,37.574571,"1-4, 4-4, 7-1, 10-1"
3-경복궁,경복궁,3,317,1,1,0,1 ,13.6 ,0,,,126.97353,37.575762,"1-4, 4-4, 7-1, 10-1"
3-안국,안국,3,318,1,1,0,1 ,10.4 ,1,,,126.985443,37.576477,"1-4, 4-4, 7-1, 10-1"
3-을지로3가,을지로3가,3,320,1,1,0,1 ,8.9 ,0,,,126.59272,37.33585,"1-4, 4-4, 7-1, 10-1"
3-동대입구,동대입구,3,322,1,1,0,1 ,12.5 ,0,,,127.005602,37.559052,"1-4, 4-4, 7-1, 10-1"
3-약수,약수,3,323,1,1,0,1 ,9.6 ,1,,,127.010655,37.55434,"1-4, 4-4, 7-1, 10-1"
3-금호,금호,3,324,1,1,0,1 ,6.5 ,0,,,127.015872,37.548034,"1-4, 4-4, 7-1, 10-1"
3-옥수,옥수,3,325,1,1,0,1 ,9.9 ,1,,,127.017965,37.540685,"1-4, 4-4, 7-1, 10-1"
3-압구정,압구정,3,326,1,1,0,1 ,11.1 ,0,,,127.028461,37.527072,"1-4, 4-4, 7-1, 10-1"
3-신사,신사,3,327,1,1,0,1 ,6.0 ,0,,,127.020114,37.516334,"1-4, 4-4, 7-1, 10-1"
3-잠원,잠원,3,328,1,1,0,1 ,9.4 ,1,,,127.01122,37.512759,"1-4, 4-4, 7-1, 10-1"
3-교대,교대,3,330,1,1,1,1 ,5.4 ,0,,,127.00492,37.29372,"1-4, 4-4, 7-1, 10-1"
3-남부터미널,남부터미널,3,331,1,1,0,1 ,8.6 ,0,,,127.016189,37.485013,"1-4, 4-4, 7-1, 10-1"
3-양재,양재,3,332,1,1,0,1 ,7.4 ,0,,,127.034631,37.484147,"1-4, 4-4, 7-1, 10-1"
3-매봉,매봉,3,333,1,1,0,1 ,10.3 ,0,,,127.046769,37.486947,"1-4, 4-4, 7-1, 10-1"
3-도곡,도곡,3,334,1,0,0,1 ,9.3 ,0,,,127.055381,37.490858,"1-4, 4-4, 7-1, 10-1"
3-대치,대치,3,335,1,1,0,1 ,8.4 ,0,,,127.063642,37.494612,"1-4, 4-4, 7-1, 10-1"
3-학여울,학여울,3,336,1,1,0,1 ,8.4 ,0,,,127.070594,37.496663,"1-4, 4-4, 7-1, 10-1"
3-대청,대청,3,337,1,1,0,1 ,10.5 ,0,,,127.079532,37.493514,"1-4, 4-4, 7-1, 10-1"
3-일원,일원,3,338,1,1,0,1 ,7.7 ,0,,,127.08439,37.483681,"1-4, 4-4, 7-1, 10-1"
3-수서,수서,3,339,1,1,0,1 ,10.5 ,1,,,127.10188,37.487371,"1-4, 4-4, 7-1, 10-1"
3-충무로,충무로,3,423,1,1,1,1 ,11.6 ,1,,,126.99428,37.561243,"1-4, 4-4, 7-1, 10-1"
3-삼송,삼송,3,1950,1,0,0,0 ,10.2 ,0,,,126.895558,37.653083,"1-4, 4-4, 7-1, 10-1"
3-원당,원당,3,1951,1,0,0,1 ,6.2 ,0,,,126.843041,37.653324,"1-4, 4-4, 7-1, 10-1"
3-화정,화정,3,1952,1,0,0,1 ,5.4 ,0,,,126.83265,37.634592,"1-4, 4-4, 7-1, 10-1"
3-대곡,대곡,3,1953,1,0,0,1 ,6.3 ,0,,,126.811024,37.631626,"1-4, 4-4, 7-1, 10-1"
3-백석,백석,3,1954,1,0,0,1 ,6.4 ,0,,,126.78787,37.643114,"1-4, 4-4, 7-1, 10-1"
3-마두,마두,3,1955,1,0,0,1 ,5.9 ,0,,,126.77762,37.652206,"1-4, 4-4, 7-1, 10-1"
3-정발산,정발산,3,1956,1,0,0,1 ,5.0 ,0,,,126.773359,37.659477,"1-4, 4-4, 7-1, 10-1"
3-주엽,주엽,3,1957,1,0,0,0 ,5.4 ,0,,,126.761334,37.670072,"1-4, 4-4, 7-1, 10-1"
3-대화,대화,3,1958,1,0,0,1 ,6.0 ,0,,,126.747569,37.676087,"1-4, 4-4, 7-1, 10-1"
3-연신내,연신내,3,2615,1,1,0,1 ,6.6 ,1,,,126.921008,37.619001,"1-4, 4-4, 7-1, 10-1"
3-고속터미널,고속터미널,3,4123,1,0,0,0 ,10.4 ,1,,,127.004943,37.50481,"1-4, 4-4, 7-1, 10-1"
4-별내별가람,별내별가람,4,-,0,0,0,0 ,-,0,,,-,-,"1-4, 4-4, 7-1, 10-1"
4-오남,오남,4,-,0,0,0,0 ,-,0,,,-,-,"1-4, 4-4, 7-1, 10-1"
4-진접,진접,4,-,0,0,0,0 ,-,0,,,-,-,"1-4, 4-4, 7-1, 10-1"
4-수리산,수리산,4,1763,0,0,0,1 ,6.3 ,0,,,126.925365 ,37.349801 ,"1-4, 4-4, 7-1, 10-1"
4-서울역,서울역,4,150,1,1,1,1 ,10.7 ,0,,,126.972559,37.554648,"1-4, 4-4, 7-1, 10-1"
4-사당,사당,4,226,1,1,0,1 ,4.5 ,1,,,126.58538,37.28355,"1-4, 4-4, 7-1, 10-1"
4-당고개,당고개,4,409,1,1,0,1 ,11.4 ,0,,,127.079066,37.670272,"1-4, 4-4, 7-1, 10-1"
4-상계,상계,4,410,1,1,1,1 ,9.4 ,0,,,127.073572,37.660878,"1-4, 4-4, 7-1, 10-1"
4-창동,창동,4,412,1,1,1,1 ,10.1 ,1,,,127.047731,37.653166,"1-4, 4-4, 7-1, 10-1"
4-쌍문,쌍문,4,413,1,1,0,1 ,9.4 ,1,,,127.034709,37.648627,"1-4, 4-4, 7-1, 10-1"
4-수유,수유,4,414,1,1,0,1 ,9.9 ,1,,,127.025732,37.638052,"1-4, 4-4, 7-1, 10-1"
4-미아,미아,4,415,1,1,0,1 ,9.9 ,0,,,127.025983,37.62667,"1-4, 4-4, 7-1, 10-1"
4-미아사거리,미아사거리,4,416,1,1,0,1 ,8.2 ,1,,,127.030053,37.613292,"1-4, 4-4, 7-1, 10-1"
4-길음,길음,4,417,1,1,0,1 ,7.0 ,0,,,127.025053,37.603407,"1-4, 4-4, 7-1, 10-1"
4-성신여대입구,성신여대입구,4,418,1,1,0,1 ,14.0 ,0,,,127.016403,37.592624,"1-4, 4-4, 7-1, 10-1"
4-한성대입구,한성대입구,4,419,0,1,0,1 ,9.5 ,1,,,127.006221,37.588458,"1-4, 4-4, 7-1, 10-1"
4-혜화,혜화,4,420,1,1,0,1 ,3.7 ,1,,,127.001844,37.582336,"1-4, 4-4, 7-1, 10-1"
