,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역 (왼쪽),다음역 (오른쪽),lon,lat,안전하차
1-백운,백운,1,1807,1,1,0,1,10.3,0,1-부평,1-동암,126.7077,37.48366,1-4 | 4-4 | 7-1 | 10-1
1-동암,동암,1,1808,1,1,0,1,9.1,0,1-백운,1-간석,126.7029,37.47141,1-4 | 4-4 | 7-1 | 10-1
1-주안,주안,1,1809,1,1,0,0,8.5,0,1-간석,1-도화,126.6799,37.46494,1-4 | 4-4 | 7-1 | 10-1
1-제물포,제물포,1,1810,1,1,0,0,10.9,1,1-도화,1-도원,126.6567,37.46677,1-4 | 4-4 | 7-1 | 10-1
1-동인천,동인천,1,1811,1,1,0,0,10.1,0,1-도원,1-인천,126.6328,37.47528,1-4 | 4-4 | 7-1 | 10-1
1-인천,인천,1,1812,1,1,0,1,10.6,0,1-동인천,-,126.6169,37.47669,1-4 | 4-4 | 7-1 | 10-1
1-구일,구일,1,1813,1,1,0,1,11,0,1-구로,1-개봉,126.8708,37.49676,1-4 | 4-4 | 7-1 | 10-1
1-소사,소사,1,1814,1,1,0,1,7.9,1,1-역곡,1-부천,126.7954,37.48275,1-4 | 4-4 | 7-1 | 10-1
1-부개,부개,1,1815,1,1,0,1,11,0,1-송내,1-부평,126.7411,37.48842,1-4 | 4-4 | 7-1 | 10-1
1-간석,간석,1,1816,1,1,0,0,10.8,0,1-동암,1-주안,126.6942,37.46474,1-4 | 4-4 | 7-1 | 10-1
1-도원,도원,1,1817,1,1,0,1,10.5,0,1-제물포,1-동인천,126.6427,37.46845,1-4 | 4-4 | 7-1 | 10-1
1-중동,중동,1,1822,1,1,0,1,9.9,0,1-부천,1-송내,126.7648,37.48656,1-4 | 4-4 | 7-1 | 10-1
1-방학,방학,1,1901,1,1,0,0,11.3,0,1-도봉,1-창동,127.0443,37.6675,1-4 | 4-4 | 7-1 | 10-1
1-도봉,도봉,1,1902,1,1,0,0,14.5,1,1-도봉산,1-방학,127.0456,37.67956,1-4 | 4-4 | 7-1 | 10-1
1-망월사,망월사,1,1904,1,0,0,1,11.9,0,1-회룡,1-도봉산,127.0475,37.70991,1-4 | 4-4 | 7-1 | 10-1
1-회룡,회룡,1,1905,1,1,0,1,14.3,0,1-의정부,1-망월사,127.0469,37.72485,1-4 | 4-4 | 7-1 | 10-1
1-의정부,의정부,1,1906,1,1,0,1,14.9,0,1-가능,1-회룡,127.046,37.73842,1-4 | 4-4 | 7-1 | 10-1
1-가능,가능,1,1907,1,1,0,0,16,0,1-녹양,1-의정부,127.0442,37.74858,1-4 | 4-4 | 7-1 | 10-1
1-신길,신길,1,2526,1,1,1,1,16.9,1,1-대방,1-영등포,126.9172,37.51712,1-4 | 4-4 | 7-1 | 10-1
1-석계,석계,1,2645,1,1,1,1,13.2,0,1-광운대,1-신이문,127.0659,37.61481,1-4 | 4-4 | 7-1 | 10-1
1-덕정,덕정,1,1911,1,1,0,0,-,0,1-지행,1-덕계,127.0613,37.84319,1-4 | 4-4 | 7-1 | 10-1
1-도봉산,도봉산,1,2712,1,1,0,0,13.6,1,1-망월사,1-도봉,127.0462,37.68931,1-4 | 4-4 | 7-1 | 10-1
1-가산디지털단지,가산디지털단지,1,2748,1,1,1,0,9.3,0,1-구로,1-독산,126.8823,37.48107,1-4 | 4-4 | 7-1 | 10-1
1-온수,온수,1,2752,1,1,1,1,8.8,1,1-오류동,1-역곡,126.8234,37.49226,1-4 | 4-4 | 7-1 | 10-1
1-노량진,노량진,1,4117,1,1,0,1,12.3,0,1-용산,1-대방,126.9425,37.51422,1-4 | 4-4 | 7-1 | 10-1
2-시청,시청,2,151,1,1,0,1,9,0,2-을지로입구,2-충정로,126.9753,37.56353,1-4 | 4-4 | 7-1 | 10-1
2-신설동,신설동,2,156,1,1,1,1,8.9,0,2-용두,-,127.0252,37.57465,1-4 | 4-1
2-까치산,까치산,2,200,1,0,0,0,8.2,0,-,2-신정네거리,126.5048,37.31543,(신도림방향)3-4 | (까치산방향)4-1
