,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역 (왼쪽),다음역 (오른쪽),lon,lat,안전하차
4-별내별가람,별내별가람,4,-,0,0,0,0,-,0,4-오남,4-당고개,-,-,1-4 | 4-4 | 7-1 | 10-1
4-오남,오남,4,-,0,0,0,0,-,0,4-진접,4-별내별가람,-,-,1-4 | 4-4 | 7-1 | 10-1
4-진접,진접,4,-,0,0,0,0,-,0,-,4-오남,-,-,1-4 | 4-4 | 7-1 | 10-1
4-수리산,수리산,4,1763,0,1,1,1,6.3,0,4-산본,4-대야미,126.9254,37.3498,1-4 | 4-4 | 7-1 | 10-1
4-서울역,서울역,4,150,1,1,1,1,10.7,0,4-회현,4-숙대입구(갈월),126.9726,37.55465,1-4 | 4-4 | 7-1 | 10-1
4-사당,사당,4,226,1,1,0,1,4.5,1,4-총신대입구(이수),4-남태령,126.5854,37.28355,1-4 | 4-4 | 7-1 | 10-1
4-당고개,당고개,4,409,1,1,0,1,11.4,0,4-별내별가람,4-상계,127.0791,37.67027,1-4 | 4-4 | 7-1 | 10-1
4-상계,상계,4,410,1,1,1,1,9.4,0,4-당고개,4-노원,127.0736,37.66088,1-4 | 4-4 | 7-1 | 10-1
4-창동,창동,4,412,1,1,1,1,10.1,1,4-노원,4-쌍문,127.0477,37.65317,1-4 | 4-4 | 7-1 | 10-1
4-쌍문,쌍문,4,413,1,1,0,1,9.4,1,4-창동,4-수유,127.0347,37.64863,1-4 | 4-4 | 7-1 | 10-1
4-수유,수유,4,414,1,1,0,1,9.9,1,4-쌍문,4-미아,127.0257,37.63805,1-4 | 4-4 | 7-1 | 10-1
4-미아,미아,4,415,1,1,0,1,9.9,0,4-수유,4-미아사거리,127.026,37.62667,1-4 | 4-4 | 7-1 | 10-1
4-미아사거리,미아사거리,4,416,1,1,0,1,8.2,1,4-미아,4-길음,127.0301,37.61329,1-4 | 4-4 | 7-1 | 10-1
4-길음,길음,4,417,1,1,0,1,7,0,4-미아사거리,4-성신여대입구,127.0251,37.60341,1-4 | 4-4 | 7-1 | 10-1
4-성신여대입구,성신여대입구,4,418,1,1,0,1,14,0,4-길음,4-한성대입구,127.0164,37.59262,1-4 | 4-4 | 7-1 | 10-1
4-한성대입구,한성대입구,4,419,0,1,0,1,9.5,1,4-성신여대입구,4-혜화,127.0062,37.58846,1-4 | 4-4 | 7-1 | 10-1
4-혜화,혜화,4,420,1,1,0,1,3.7,1,4-한성대입구,4-동대문,127.0018,37.58234,1-4 | 4-4 | 7-1 | 10-1
4-동대문,동대문,4,421,1,1,1,1,10.3,1,4-혜화,4-동대문역사문화공원,127.0097,37.57142,1-4 | 4-4 | 7-1 | 10-1
4-동대문역사문화공원,동대문역사문화공원,4,422,1,1,0,1,12.9,0,4-동대문,4-충무로,127.0079,37.56514,1-4 | 4-4 | 7-1 | 10-1
4-충무로,충무로,4,423,1,1,1,1,9.6,1,4-동대문역사문화공원,4-명동,126.9943,37.56124,1-4 | 4-4 | 7-1 | 10-1
4-명동,명동,4,424,1,1,0,1,9.1,0,4-충무로,4-회현,126.9863,37.56099,1-4 | 4-4 | 7-1 | 10-1
4-회현,회현,4,425,1,1,0,1,9.3,0,4-명동,4-서울역,126.9782,37.55851,1-4 | 4-4 | 7-1 | 10-1
4-숙대입구,숙대입구,4,427,1,1,0,1,6.4,1,4-서울역,4-삼각지,126.9721,37.54456,1-4 | 4-4 | 7-1 | 10-1
4-신용산,신용산,4,429,1,1,0,1,9.1,0,4-삼각지,4-이촌,126.9679,37.52917,1-4 | 4-4 | 7-1 | 10-1
4-이촌,이촌,4,430,1,1,1,1,9,0,4-신용산,4-동작,126.9743,37.52227,1-4 | 4-4 | 7-1 | 10-1
4-총신대입구,총신대입구,4,432,1,1,0,1,10.3,1,4-동작,4-사당,126.982,37.48626,1-4 | 4-4 | 7-1 | 10-1
4-남태령,남태령,4,434,1,1,0,1,9.9,0,4-사당,4-선바위,126.9891,37.46387,1-4 | 4-4 | 7-1 | 10-1
4-선바위,선바위,4,1450,0,1,1,1,9.6,0,4-남태령,4-경마공원,127.0023,37.45167,1-4 | 4-4 | 7-1 | 10-1
4-경마공원,경마공원,4,1451,0,1,1,1,11.4,0,4-선바위,4-대공원,127.0079,37.44389,1-4 | 4-4 | 7-1 | 10-1
4-대공원,대공원,4,1452,0,1,1,1,5.3,1,4-경마공원,4-과천,127.0065,37.43568,1-4 | 4-4 | 7-1 | 10-1
4-과천,과천,4,1453,0,1,0,1,11.2,0,4-대공원,4-정부과천청사,126.9966,37.43302,1-4 | 4-4 | 7-1 | 10-1
4-정부과천청사,정부과천청사,4,1454,0,1,1,1,6.4,0,4-과천,4-인덕원,126.9898,37.42651,1-4 | 4-4 | 7-1 | 10-1
4-인덕원,인덕원,4,1455,0,1,0,1,4.3,0,4-정부과천청사,4-평촌,126.9767,37.40155,1-4 | 4-4 | 7-1 | 10-1
4-평촌,평촌,4,1456,0,1,0,1,6.3,0,4-인덕원,4-범계,126.9639,37.39429,1-4 | 4-4 | 7-1 | 10-1
4-범계,범계,4,1457,0,1,0,0,6.4,0,4-평촌,4-금정,126.9508,37.38979,1-4 | 4-4 | 7-1 | 10-1
4-금정,금정,4,1458,1,1,0,1,8,1,4-범계,4-산본,126.9434,37.37222,1-4 | 4-4 | 7-1 | 10-1
4-산본,산본,4,1751,0,1,0,1,6.6,0,4-금정,4-수리산,126.9333,37.3581,1-4 | 4-4 | 7-1 | 10-1
4-대야미,대야미,4,1752,0,1,1,1,8.5,0,4-수리산,4-반월,126.9173,37.32847,1-4 | 4-4 | 7-1 | 10-1
4-반월,반월,4,1753,0,1,1,1,5.7,0,4-대야미,4-상록수,126.9035,37.31221,1-4 | 4-4 | 7-1 | 10-1
4-상록수,상록수,4,1754,0,1,1,1,6.2,0,4-반월,4-한대앞,126.8665,37.3028,1-4 | 4-4 | 7-1 | 10-1
4-한대앞,한대앞,4,1755,0,1,1,1,6.7,0,4-상록수,4-중앙,126.8534,37.30969,1-4 | 4-4 | 7-1 | 10-1
4-중앙,중앙,4,1756,0,1,1,1,5.2,0,4-한대앞,4-고잔,126.8386,37.31594,1-4 | 4-4 | 7-1 | 10-1
4-고잔,고잔,4,1757,0,1,0,0,6,0,4-중앙,4-초지,126.8232,37.31678,1-4 | 4-4 | 7-1 | 10-1
4-초지,초지,4,1758,0,1,0,0,6.6,0,4-고잔,4-안산,126.8059,37.32065,1-4 | 4-4 | 7-1 | 10-1
4-안산,안산,4,1759,0,1,0,1,5,0,4-초지,4-신길온천,126.7885,37.32708,1-4 | 4-4 | 7-1 | 10-1
4-신길온천,신길온천,4,1760,0,1,0,1,5.5,0,4-안산,4-정왕,126.7658,37.33821,1-4 | 4-4 | 7-1 | 10-1
4-정왕,정왕,4,1761,0,1,0,1,5.5,0,4-신길온천,4-오이도,126.743,37.35174,1-4 | 4-4 | 7-1 | 10-1
4-오이도,오이도,4,1762,0,1,0,1,6.1,0,4-정왕,-,126.7387,37.36236,1-4 | 4-4 | 7-1 | 10-1
4-삼각지,삼각지,4,2629,1,1,1,0,9.5,1,4-숙대입구(갈월),4-신용산,126.9731,37.53478,1-4 | 4-4 | 7-1 | 10-1
4-노원,노원,4,2715,1,1,0,1,7.7,1,4-상계,4-창동,127.0614,37.65513,1-4 | 4-4 | 7-1 | 10-1
4-동작,동작,4,4120,1,1,0,0,11.3,1,4-이촌,4-총신대입구(이수),126.9793,37.50297,1-4 | 4-4 | 7-1 | 10-1
5-강일,강일,5,2562,1,1,0,0,-,0,5-상일동,5-미사,127.176,37.55752,1-4 | 4-1 | 5-4 | 8-1
5-미사,미사,5,2563,1,1,0,0,-,1,5-상일동,5-하남풍산,127.193,37.56329,1-4 | 4-1 | 5-4 | 8-1
5-하남풍산,하남풍산,5,2564,1,1,0,1,-,1,5-미사,5-하남시청,127.2039,37.5522,1-4 | 4-1 | 5-4 | 8-1
5-하남시청,하남시청,5,2565,1,1,0,0,-,0,5-하남풍산,5-하남검단산,127.2069,37.54172,1-4 | 4-1 | 5-4 | 8-1
5-하남검단산,하남검단산,5,2566,1,1,0,1,-,0,5-하남시청,5-,127.2234,37.53973,1-4 | 4-1 | 5-4 | 8-1
5-종로3가,종로3가,5,153,1,1,1,1,8.2,1,5-광화문,5-을지로 4가,126.9918,37.57161,1-4 | 4-1 | 5-4 | 8-1
5-까치산,까치산,5,200,1,1,0,0,8.1,0,5-화곡,5-신정,126.8467,37.53177,1-4 | 4-1 | 5-4 | 8-1
5-을지로4가,을지로4가,5,204,1,1,0,1,8.6,0,5-종로 3가 ,5-동대문역사문화공원,126.9981,37.56694,1-4 | 4-1 | 5-4 | 8-1
5-왕십리,왕십리,5,208,1,1,0,1,8.3,0,5-행당,5-마장,127.0377,37.56153,1-4 | 4-1 | 5-4 | 8-1
5-충정로,충정로,5,243,1,1,0,1,8.8,1,5-애오개,5-서대문,126.9637,37.55997,1-4 | 4-1 | 5-4 | 8-1
5-동대문역사문화공원,동대문역사문화공원,5,422,1,1,0,1,10,0,5-을지로 4가,5-청구,127.0079,37.56514,1-4 | 4-1 | 5-4 | 8-1
5-방화,방화,5,2511,1,1,0,1,8.4,1,-,5-개화산,126.8127,37.57745,1-4 | 4-1 | 5-4 | 8-1
5-개화산,개화산,5,2512,1,1,0,1,10.5,1,5-방화,5-김포공항,126.8062,37.5724,1-4 | 4-1 | 5-4 | 8-1
5-송정,송정,5,2514,1,1,0,1,7.7,0,5-김포공항,5-마곡,126.812,37.56118,1-4 | 4-1 | 5-4 | 8-1
5-마곡,마곡,5,2515,1,1,0,0,8.2,0,5-송정,5-발산,126.8254,37.56018,1-4 | 4-1 | 5-4 | 8-1
5-발산,발산,5,2516,1,1,0,1,11.5,0,5-마곡,5-우장산,126.8377,37.5586,1-4 | 4-1 | 5-4 | 8-1
5-우장산,우장산,5,2517,1,1,0,1,8.8,0,5-발산,5-화곡,126.8363,37.54877,1-4 | 4-1 | 5-4 | 8-1
5-화곡,화곡,5,2518,1,1,0,1,8,0,5-우장산,5-까치산,126.8405,37.54151,1-4 | 4-1 | 5-4 | 8-1
5-신정,신정,5,2520,1,1,0,1,8.7,0,5-까치산,5-목동,126.8562,37.525,1-4 | 4-1 | 5-4 | 8-1
5-목동,목동,5,2521,1,1,0,1,11.7,0,5-신정,5-오목교,126.8649,37.52607,1-4 | 4-1 | 5-4 | 8-1
5-오목교,오목교,5,2522,1,1,0,1,8.5,0,5-목동,5-양평,126.8752,37.5245,1-4 | 4-1 | 5-4 | 8-1
5-양평,양평,5,2523,1,1,0,1,8.1,0,5-오목교,5-영등포구청,126.8858,37.52565,1-4 | 4-1 | 5-4 | 8-1
5-영등포구청,영등포구청,5,2524,1,1,1,1,8.2,0,5-양평,5-영등포시장,126.896,37.52497,1-4 | 4-1 | 5-4 | 8-1
5-영등포시장,영등포시장,5,2525,1,1,0,1,8.5,0,5-영등포구청,5-신길,126.9051,37.52267,1-4 | 4-1 | 5-4 | 8-1
5-신길,신길,5,2526,1,1,1,1,12.2,1,5-영등포시장,5-여의도,126.9172,37.51712,1-4 | 4-1 | 5-4 | 8-1
5-여의도,여의도,5,2527,1,1,0,1,8.3,0,5-신길,5-여의나루,126.9242,37.52162,1-4 | 4-1 | 5-4 | 8-1
5-여의나루,여의나루,5,2528,1,1,0,1,9.1,0,5-여의도,5-마포,126.9329,37.5271,1-4 | 4-1 | 5-4 | 8-1
5-마포,마포,5,2529,1,1,0,1,8.8,0,5-여의나루,5-공덕,126.9459,37.53957,1-4 | 4-1 | 5-4 | 8-1
5-공덕,공덕,5,2530,1,1,0,1,8.8,1,5-마포,5-애오개,126.9516,37.54402,1-4 | 4-1 | 5-4 | 8-1
5-애오개,애오개,5,2531,1,1,0,1,8.1,1,5-공덕,5-충정로,126.9568,37.55374,1-4 | 4-1 | 5-4 | 8-1
5-서대문,서대문,5,2533,1,1,1,1,10.1,1,5-충정로,5-광화문,126.9666,37.56577,1-4 | 4-1 | 5-4 | 8-1
5-광화문,광화문,5,2534,1,1,1,1,10.1,1,5-서대문,5-종로 3가,126.9767,37.57103,1-4 | 4-1 | 5-4 | 8-1
5-청구,청구,5,2538,1,1,0,1,4.7,0,5-동대문역사문화공원,5-신금호,127.0138,37.56025,1-4 | 4-1 | 5-4 | 8-1
5-신금호,신금호,5,2539,1,1,0,1,8.2,1,5-청구,5-행당,127.0203,37.55455,1-4 | 4-1 | 5-4 | 8-1
5-행당,행당,5,2540,1,1,0,1,8.2,0,5-신금호,5-왕십리,127.0295,37.55732,1-4 | 4-1 | 5-4 | 8-1
5-마장,마장,5,2542,1,1,0,0,8.8,1,5-왕십리,5-답십리,127.043,37.5661,1-4 | 4-1 | 5-4 | 8-1
5-답십리,답십리,5,2543,1,1,1,1,8.8,1,5-마장,5-장한평,127.0527,37.56675,1-4 | 4-1 | 5-4 | 8-1
5-장한평,장한평,5,2544,1,1,1,0,9,1,5-답십리,5-군자,127.0646,37.56144,1-4 | 4-1 | 5-4 | 8-1
5-아차산,아차산,5,2546,1,1,0,1,8.7,1,5-군자,5-광나루,127.0898,37.55169,1-4 | 4-1 | 5-4 | 8-1
5-광나루,광나루,5,2547,1,1,1,1,9.6,1,5-아차산,5-천호,127.1036,37.5453,1-4 | 4-1 | 5-4 | 8-1
5-강동,강동,5,2549,1,1,1,0,9,0,5-천호,5-길동,127.1325,37.5358,1-4 | 4-1 | 5-4 | 8-1
5-길동,길동,5,2550,1,1,0,0,8.5,0,5-강동,5-굽은다리,127.14,37.5378,1-4 | 4-1 | 5-4 | 8-1
5-굽은다리,굽은다리,5,2551,1,1,0,1,9.3,0,5-길동,5-명일,127.1429,37.54548,1-4 | 4-1 | 5-4 | 8-1
5-명일,명일,5,2552,1,1,0,1,9.7,0,5-굽은다리,5-고덕,127.144,37.55137,1-4 | 4-1 | 5-4 | 8-1
5-고덕,고덕,5,2553,1,1,0,0,8.7,0,5-명일,5-상일동,127.1542,37.555,1-4 | 4-1 | 5-4 | 8-1
5-상일동,상일동,5,2554,1,1,1,0,8.9,0,5-고덕,5-강일,127.1664,37.55671,1-4 | 4-1 | 5-4 | 8-1
5-둔촌동,둔촌동,5,2555,1,1,0,0,8.6,1,5-강동,5-올림픽공원,127.1362,37.52779,1-4 | 4-1 | 5-4 | 8-1
5-올림픽공원,올림픽공원,5,2556,1,1,0,0,8.4,1,5-둔촌동,5-방이,127.1308,37.51608,1-4 | 4-1 | 5-4 | 8-1
5-방이,방이,5,2557,1,1,0,0,8.5,0,5-올림픽공원,5-오금,127.1261,37.50886,1-4 | 4-1 | 5-4 | 8-1
5-오금,오금,5,2558,1,1,0,0,9,0,5-방이,5-개롱,127.1281,37.50216,1-4 | 4-1 | 5-4 | 8-1
5-개롱,개롱,5,2559,1,1,0,0,7.6,0,5-오금,5-거여,127.1348,37.49808,1-4 | 4-1 | 5-4 | 8-1
5-거여,거여,5,2560,1,1,0,1,10.4,0,5-개롱,5-마천,127.1442,37.49311,1-4 | 4-1 | 5-4 | 8-1
5-마천,마천,5,2561,1,1,1,0,7.4,1,5-거여,-,127.1528,37.49499,1-4 | 4-1 | 5-4 | 8-1
5-군자,군자,5,2727,1,1,0,0,9.1,1,5-장한평,5-아차산,127.0795,37.55712,1-4 | 4-1 | 5-4 | 8-1
5-천호,천호,5,2812,1,1,1,0,10,1,5-광나루,5-강동,127.1236,37.5384,1-4 | 4-1 | 5-4 | 8-1
5-김포공항,김포공항,5,4102,1,1,0,0,10.3,0,5-개화산,5-송정,126.8011,37.56243,1-4 | 4-1 | 5-4 | 8-1
6-신내,신내,6,2649,0,1,0,0,-,0,6-봉화산,-,127.1043,37.61257,1-4 | 4-1 | 5-4 | 8-1
6-동묘앞,동묘앞,6,159,1,1,0,1,5.8,1,6-신당,6-창신,127.0162,37.56617,1-4 | 4-1 | 5-4 | 8-1
6-신당,신당,6,206,1,1,0,1,5.2,0,6-청구,6-동묘앞,127.0138,37.56022,1-4 | 4-1 | 5-4 | 8-1
6-합정,합정,6,238,1,1,0,1,13.3,1,6-망원,6-상수,126.9101,37.55603,1-4 | 4-1 | 5-4 | 8-1
6-불광,불광,6,312,1,1,0,1,9.4,1,6-역촌,6-독바위,126.9295,37.61092,1-4 | 4-1 | 5-4 | 8-1
6-약수,약수,6,323,1,1,0,1,4.7,1,6-버티고개,6-청구,127.0069,37.54793,1-4 | 4-1 | 5-4 | 8-1
6-공덕,공덕,6,2530,1,1,0,1,5,1,6-대흥,6-효창공원앞,126.9422,37.54773,1-4 | 4-1 | 5-4 | 8-1
6-청구,청구,6,2538,1,1,0,1,4.9,0,6-약수,6-신당,127.0102,37.55409,1-4 | 4-1 | 5-4 | 8-1
6-응암,응암,6,2611,1,1,0,1,11,1,-,6-새절,126.9156,37.59859,1-4 | 4-1 | 5-4 | 8-1
6-역촌,역촌,6,2612,1,1,0,0,6.6,0,6-응암,6-불광,126.9228,37.60605,1-4 | 4-1 | 5-4 | 8-1
6-독바위,독바위,6,2614,1,1,0,1,10.9,1,6-불광,6-연신내,126.933,37.61841,1-4 | 4-1 | 5-4 | 8-1
6-연신내,연신내,6,2615,1,1,0,1,14.8,1,6-독바위,6-구산,127.0914,37.61729,1-4 | 4-1 | 5-4 | 8-1
6-구산,구산,6,2616,1,1,1,1,12.4,0,6-연신내,6-응암,126.9205,37.6186,1-4 | 4-1 | 5-4 | 8-1
6-새절,새절,6,2617,1,1,1,0,6.9,1,6-응암,6-증산,126.9172,37.61122,1-4 | 4-1 | 5-4 | 8-1
6-증산,증산,6,2618,1,1,0,0,5.2,1,6-새절,6-디지털미디어시티,126.9136,37.59115,1-4 | 4-1 | 5-4 | 8-1
6-디지털미디어시티,디지털미디어시티,6,2619,1,1,1,0,8,0,6-증산,6-월드컵경기장,126.9098,37.58399,1-4 | 4-1 | 5-4 | 8-1
6-월드컵경기장,월드컵경기장,6,2620,1,1,0,1,8,1,6-디지털미디어시티,6-마포구청,126.8986,37.57701,1-4 | 4-1 | 5-4 | 8-1
6-마포구청,마포구청,6,2621,1,1,1,0,5.8,0,6-월드컵경기장,6-망원,126.8991,37.56944,1-4 | 4-1 | 5-4 | 8-1
6-망원,망원,6,2622,1,1,0,0,5,1,6-마포구청,6-합정,126.9033,37.56354,1-4 | 4-1 | 5-4 | 8-1
6-상수,상수,6,2624,1,1,1,0,5,0,6-합정,6-광흥창,126.9135,37.54903,1-4 | 4-1 | 5-4 | 8-1
6-광흥창,광흥창,6,2625,1,1,1,0,5,1,6-상수,6-대흥,126.9229,37.5477,1-4 | 4-1 | 5-4 | 8-1
6-대흥,대흥,6,2626,1,1,1,0,5,0,6-광흥창,6-공덕,126.932,37.54746,1-4 | 4-1 | 5-4 | 8-1
6-효창공원앞,효창공원앞,6,2628,1,1,1,0,7.2,0,6-공덕,6-삼각지,126.9517,37.54359,1-4 | 4-1 | 5-4 | 8-1
6-삼각지,삼각지,6,2629,1,1,1,0,6.3,1,6-효창공원앞,6-녹사평,126.9613,37.53928,1-4 | 4-1 | 5-4 | 8-1
6-녹사평,녹사평,6,2630,1,1,0,1,7.8,0,6-삼각지,6-이태원,126.974,37.53556,1-4 | 4-1 | 5-4 | 8-1
6-이태원,이태원,6,2631,1,1,0,0,4.8,0,6-녹사평,6-한강진,126.9867,37.53469,1-4 | 4-1 | 5-4 | 8-1
6-한강진,한강진,6,2632,1,1,0,0,4.9,1,6-이태원,6-버티고개,126.9944,37.53449,1-4 | 4-1 | 5-4 | 8-1
6-버티고개,버티고개,6,2633,1,1,0,1,9,0,6-한강진,6-약수,127.0017,37.53956,1-4 | 4-1 | 5-4 | 8-1
6-창신,창신,6,2638,1,1,0,1,7.3,0,6-동묘앞,6-보문,127.0157,37.57228,1-4 | 4-1 | 5-4 | 8-1
6-보문,보문,6,2639,1,1,0,0,5.4,1,6-창신,6-안암,127.0152,37.57977,1-4 | 4-1 | 5-4 | 8-1
6-안암,안암,6,2640,1,1,0,0,4.5,0,6-보문,6-고려대,127.0194,37.58529,1-4 | 4-1 | 5-4 | 8-1
6-고려대,고려대,6,2641,1,1,0,1,8.5,1,6-안암,6-월곡,127.029,37.58626,1-4 | 4-1 | 5-4 | 8-1
6-월곡,월곡,6,2642,1,1,1,1,9,1,6-고려대,6-상월곡,127.0363,37.59034,1-4 | 4-1 | 5-4 | 8-1
6-상월곡,상월곡,6,2643,1,1,1,0,3.9,0,6-월곡,6-돌곶이,127.0415,37.60192,1-4 | 4-1 | 5-4 | 8-1
6-돌곶이,돌곶이,6,2644,1,1,0,0,5,1,6-상월곡,6-석계,127.0485,37.60639,1-4 | 4-1 | 5-4 | 8-1
6-석계,석계,6,2645,1,1,1,0,5,0,6-돌곶이,6-태릉입구,127.0564,37.61052,1-4 | 4-1 | 5-4 | 8-1
6-화랑대,화랑대,6,2647,1,1,0,1,10.3,1,6-태릉입구,6-봉화산,127.0747,37.61732,1-4 | 4-1 | 5-4 | 8-1
6-봉화산,봉화산,6,2648,1,1,1,0,5,1,6-화랑대,6-신내,127.0841,37.61988,1-4 | 4-1 | 5-4 | 8-1
6-태릉입구,태릉입구,6,2719,1,1,0,1,5.8,1,6-석계,6-화랑대,127.0659,37.61494,1-4 | 4-1 | 5-4 | 8-1
7-산곡,산곡,7,-,1,0,0,0,-,0,7-석남(거북시장),7-부평구청,-,-,1-4 | 4-1 | 5-4 | 8-1
7-부평구청,부평구청,7,2761,1,1,0,0,5.9,0,7-산곡,7-굴포천,126.7205,37.50834,1-4 | 4-1 | 5-4 | 8-1
7-굴포천,굴포천,7,2760,1,1,0,0,5,0,7-부평구청,7-삼산체육관,126.7313,37.507,1-4 | 4-1 | 5-4 | 8-1
7-삼산체육관,삼산체육관,7,2759,1,1,0,0,7.7,0,7-굴포천,7-상동,126.7422,37.50641,1-4 | 4-1 | 5-4 | 8-1
7-상동,상동,7,2758,1,1,0,0,4.8,0,7-삼산체육관,7-부천시청,126.7531,37.50578,1-4 | 4-1 | 5-4 | 8-1
7-부천시청,부천시청,7,2757,1,1,0,0,4.3,1,7-상동,7-신중동,126.7635,37.50463,1-4 | 4-1 | 5-4 | 8-1
7-신중동,신중동,7,2756,1,1,0,0,4.1,0,7-부천시청,7-춘의,126.776,37.50305,1-4 | 4-1 | 5-4 | 8-1
7-춘의,춘의,7,2755,1,1,0,0,5.5,0,7-신중동,7-부천종합운동장,126.787,37.50366,1-4 | 4-1 | 5-4 | 8-1
7-부천종합운동장,부천종합운동장,7,2754,1,1,0,0,4.7,0,7-춘의,7-까치울,126.7973,37.50538,1-4 | 4-1 | 5-4 | 8-1
7-까치울,까치울,7,2753,1,0,0,0,4.1,0,7-부천종합운동장,7-온수,126.8109,37.50621,1-4 | 4-1 | 5-4 | 8-1
7-석남,석남,7,3213,1,0,0,0,-,0,-,7-산곡,-,-,1-4 | 4-1 | 5-4 | 8-1
7-건대입구,건대입구,7,212,1,1,0,1,9.6,1,7-뚝섬유원지,7-어린이대공원,127.0702,37.54069,1-4 | 4-1 | 5-4 | 8-1
7-총신대입구,총신대입구,7,432,1,1,0,1,7.5,1,7-남성,7-내방,126.982,37.48626,1-4 | 4-1 | 5-4 | 8-1
7-장암,장암,7,2711,1,1,0,0,7.7,0,7-도봉산,-,127.0532,37.70011,1-4 | 4-1 | 5-4 | 8-1
7-도봉산,도봉산,7,2712,1,1,0,1,11.9,1,7-수락산,7-장암,127.0462,37.68931,1-4 | 4-1 | 5-4 | 8-1
7-수락산,수락산,7,2713,1,1,1,1,8.2,1,7-마들,7-도봉산,127.0553,37.67785,1-4 | 4-1 | 5-4 | 8-1
7-마들,마들,7,2714,1,1,1,1,8.7,1,7-노원,7-수락산,127.0577,37.66494,1-4 | 4-1 | 5-4 | 8-1
7-노원,노원,7,2715,1,1,0,1,9,1,7-중계,7-마들,127.0614,37.65513,1-4 | 4-1 | 5-4 | 8-1
7-중계,중계,7,2716,1,1,0,1,10.6,1,7-하계,7-노원,127.0643,37.64458,1-4 | 4-1 | 5-4 | 8-1
7-하계,하계,7,2717,1,1,0,1,8.9,1,7-공릉,7-중계,127.068,37.63635,1-4 | 4-1 | 5-4 | 8-1
7-공릉,공릉,7,2718,1,1,0,1,11.6,0,7-태릉입구,7-하계,127.0729,37.62574,1-4 | 4-1 | 5-4 | 8-1
7-태릉입구,태릉입구,7,2719,1,1,0,1,9,1,7-먹골,7-공릉,127.0751,37.61798,1-4 | 4-1 | 5-4 | 8-1
7-먹골,먹골,7,2720,1,1,0,1,8,1,7-중화,7-태릉입구,127.0777,37.61064,1-4 | 4-1 | 5-4 | 8-1
7-중화,중화,7,2721,1,1,0,1,8.6,1,7-상봉,7-먹골,127.0793,37.60255,1-4 | 4-1 | 5-4 | 8-1
7-상봉,상봉,7,2722,1,1,0,1,5.2,0,7-면목,7-중화,127.085,37.59636,1-4 | 4-1 | 5-4 | 8-1
7-면목,면목,7,2723,1,1,0,1,9.8,1,7-사가정,7-상봉,127.0875,37.58858,1-4 | 4-1 | 5-4 | 8-1
7-사가정,사가정,7,2724,1,1,0,1,8.3,1,7-용마산,7-면목,127.0885,37.58089,1-4 | 4-1 | 5-4 | 8-1
7-용마산,용마산,7,2725,1,1,0,1,7.6,1,7-중곡,7-사가정,127.0867,37.57365,1-4 | 4-1 | 5-4 | 8-1
7-중곡,중곡,7,2726,1,1,0,1,8.9,1,7-군자,7-용마산,127.0843,37.56592,1-4 | 4-1 | 5-4 | 8-1
7-군자,군자,7,2727,1,1,0,0,8.9,1,7-어린이대공원,7-중곡,127.0795,37.55712,1-4 | 4-1 | 5-4 | 8-1
7-어린이대공원,어린이대공원,7,2728,1,1,1,1,8.9,1,7-건대입구,7-군자,127.0747,37.54801,1-4 | 4-1 | 5-4 | 8-1
7-뚝섬유원지,뚝섬유원지,7,2730,1,1,0,0,4.9,0,7-청담,7-건대입구,127.0667,37.53154,1-4 | 4-1 | 5-4 | 8-1
7-청담,청담,7,2731,1,1,1,0,5.1,0,7-강남구청,7-뚝섬유원지,127.0534,37.51937,1-4 | 4-1 | 5-4 | 8-1
7-강남구청,강남구청,7,2732,1,1,1,1,8.8,0,7-학동,7-청담,127.0413,37.51719,1-4 | 4-1 | 5-4 | 8-1
7-학동,학동,7,2733,1,1,0,0,6.5,0,7-논현,7-강남구청,127.0317,37.51423,1-4 | 4-1 | 5-4 | 8-1
7-논현,논현,7,2734,1,1,1,0,5,1,7-반포,7-학동,127.0214,37.51109,1-4 | 4-1 | 5-4 | 8-1
7-반포,반포,7,2735,1,1,1,0,5,1,7-고속터미널,7-논현,127.0117,37.50818,1-4 | 4-1 | 5-4 | 8-1
7-내방,내방,7,2737,1,1,0,0,5,1,7-총신대입구(이수),7-고속터미널,126.9935,37.48762,1-4 | 4-1 | 5-4 | 8-1
7-남성,남성,7,2739,1,1,0,1,5.6,0,7-숭실대입구,7-총신대입구(이수),126.9713,37.4846,1-4 | 4-1 | 5-4 | 8-1
7-숭실대입구,숭실대입구,7,2740,1,1,0,0,5,0,7-상도,7-남성,126.9538,37.49603,1-4 | 4-1 | 5-4 | 8-1
7-상도,상도,7,2741,1,1,0,0,5,0,7-장승배기,7-숭실대입구,126.9479,37.50283,1-4 | 4-1 | 5-4 | 8-1
7-장승배기,장승배기,7,2742,1,1,0,1,10,0,7-신대방삼거리,7-상도,126.9392,37.5049,1-4 | 4-1 | 5-4 | 8-1
7-신대방삼거리,신대방삼거리,7,2743,1,1,0,0,5,0,7-보라매,7-장승배기,126.9283,37.4997,1-4 | 4-1 | 5-4 | 8-1
7-보라매,보라매,7,2744,1,1,0,0,5,0,7-신풍,7-신대방삼거리,126.9204,37.49987,1-4 | 4-1 | 5-4 | 8-1
7-신풍,신풍,7,2745,1,1,0,1,5,1,7-대림,7-보라매,126.9099,37.50008,1-4 | 4-1 | 5-4 | 8-1
